symbol,code,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,ticktime,per,pb,mktcap,nmc,turnoverratio
sh600056,600056,中国医药,10.61,-0.02,-0.188,10.6,10.61,10.63,10.61,10.62,10.52,3571772,37769171,10:49:21,15.144,1.361,1587128.412628,1586567.918158,0.23886000000000002
sh600057,600057,厦门象屿,5.86,-0.02,-0.34,5.86,5.87,5.88,5.88,5.89,5.84,3028594,17728757,10:49:19,9.302,1.266,1644899.235838,1284810.977786,0.13813
sh600058,600058,五矿发展,7.82,0.05,0.644,7.82,7.83,7.77,7.71,7.9,7.71,5803068,45335130,10:49:20,71.091,1.686,838234.176002,838234.176002,0.5413800000000001
sh600059,600059,古越龙山,8.31,0.0,0.0,8.31,8.32,8.31,8.31,8.34,8.27,2424000,20138561,10:49:19,18.886,1.301,757491.745203,757491.745203,0.26592000000000005
sh600060,600060,海信视像,22.59,0.19,0.848,22.58,22.59,22.4,22.41,22.61,22.28,3053667,68559602,10:49:20,13.927,1.57,2947932.321786,2925618.222492,0.23579000000000003
sh600061,600061,国投资本,7.27,-0.06,-0.8190000000000001,7.26,7.27,7.33,7.29,7.31,7.22,10208940,73975933,10:49:19,20.194,0.913,4648423.956541,4648423.956541,0.15966000000000002
sh600062,600062,华润双鹤,18.96,-0.05,-0.263,18.95,18.96,19.01,18.95,18.98,18.76,4868191,91870683,10:49:20,14.582,1.932,1969634.045712,1947608.828016,0.47392000000000006
sh600063,600063,皖维高新,4.18,0.29,7.455,4.17,4.18,3.89,3.89,4.28,3.87,57781560,237513045,10:49:19,26.125,1.055,879730.419722,805023.981256,3.00025
sh600064,600064,南京高科,7.47,0.13,1.771,7.46,7.47,7.34,7.34,7.49,7.25,16868189,124818793,10:49:18,8.282,0.68,1292563.714068,1292563.714068,0.9748500000000001
sh600066,600066,宇通客车,25.57,-0.03,-0.117,25.57,25.58,25.6,25.38,25.67,24.92,9881534,250530183,10:49:19,31.183,4.36,5661042.593211,5661042.593211,0.44633000000000006
sh600067,600067,冠城新材,2.6,-0.02,-0.763,2.59,2.6,2.62,2.61,2.62,2.56,17959900,46418170,10:49:18,-8.125,0.562,361833.87214,361833.87214,1.29053
sh600070,600070,*ST富润,1.08,-0.06,-5.263,0.0,1.08,1.14,1.08,1.09,1.08,33273900,35948628,10:49:14,-0.964,1.089,54801.439056,54725.839056,6.56652
sh600071,600071,凤凰光学,21.89,0.08,0.367,21.89,21.9,21.81,21.8,21.97,21.5,1732100,37592756,10:49:20,-72.967,14.754,616365.243021,616365.243021,0.6151500000000001
sh600072,600072,中船科技,13.01,0.28,2.2,13.0,13.01,12.73,12.7,13.13,12.59,21945012,282723540,10:49:20,121.136,1.827,1959984.768128,1409421.848116,2.02569
sh600073,600073,光明肉业,6.34,-0.04,-0.627,6.34,6.35,6.38,6.35,6.38,6.32,4492900,28526473,10:49:19,26.417,1.151,594520.485248,594520.485248,0.47913000000000006
sh600075,600075,新疆天业,4.32,0.03,0.6990000000000001,4.31,4.32,4.29,4.28,4.32,4.27,3734281,16039760,10:49:20,-9.6,0.8270000000000001,737580.670416,737580.670416,0.21872000000000003
sh600076,600076,康欣新材,2.27,0.04,1.794,2.26,2.28,2.23,2.24,2.3,2.2,33228552,74733960,10:49:19,-10.318,0.723,305211.344309,305211.344309,2.4713600000000002
sh600078,600078,澄星股份,5.27,-0.02,-0.378,5.27,5.28,5.29,5.27,5.29,5.23,2892200,15208524,10:49:15,-57.407,1.9969999999999999,349175.897747,349175.897747,0.43651
sh600079,600079,人福医药,19.8,-0.22,-1.099,19.8,19.81,20.02,19.91,19.97,19.55,7259620,143279231,10:49:19,15.0,1.8090000000000002,3231807.4107,3055493.9646,0.47043
sh600080,600080,金花股份,7.82,-0.01,-0.128,7.82,7.83,7.83,7.83,7.89,7.77,1356800,10634451,10:49:05,-68.059,1.921,291897.36287,291897.36287,0.36349000000000004
sh600081,600081,东风科技,12.15,-0.01,-0.082,12.14,12.15,12.16,12.08,12.15,11.93,4283340,51502452,10:49:18,45.677,1.477,671926.79655,671926.79655,0.77453
sh600082,600082,海泰发展,3.07,0.01,0.327,3.06,3.07,3.06,3.06,3.09,3.04,5809000,17780187,10:49:18,156.633,1.155,198357.558582,194740.971484,0.9157600000000001
sh600084,600084,中信尼雅,5.6,0.04,0.719,5.59,5.6,5.56,5.56,5.61,5.52,2398406,13355032,10:49:11,1696.97,4.925,629287.0248,629287.0248,0.21343
